,country_A,gold,debtburden,rlong,rshort1890,rgdp,rgdpcap,poldemo,tot_trade_enM,is_colony,groupe_1890,groupe_1900,groupe_1910
0,ARG,1,6.844985,7.01,9.33,16.37536,7.92154,0.3,1.390598537,0,C,C,C
44,AUH,1,5.222065,4.01,4.48,18.14368,7.39388,0.87,3.1622531502999998,0,B,B,B
88,AUS,1,6.06592,3.12,7.0,16.5244,8.29729,6.37,1.8607372665,1,C,C,C
132,BEL,1,4.882136,3.15,3.18,17.02921,8.22443,10.66,4.04694638,0,B,B,B
176,BRA,0,5.516892,6.97,6.3,16.31639,6.51915,0.22,1.3414690694,0,C,C,C
220,CAN,1,6.784091,3.61,6.5,16.58091,7.97625,8.58,1.49432337277,1,C,C,C
264,CEY,1,1.362319,3.25,,15.4342,7.1624,0.0,0.344479364,0,C,C,C
308,CHE,1,0.91,3.08,3.89,16.35308,8.2514,5.6,1.7899565703,0,B,B,B
352,CHL,0,2.939891,5.6,8.1,15.57273,7.57507,1.78,0.545444752,0,C,C,C
396,CHN,0,4.340557,6.1,7.0,19.20001,6.30079,0.0,1.6305230819999998,0,C,C,C
440,COL,0,0.1861702,10.3,9.5,15.17393,6.88038,0.0,0.08925989100000001,0,C,C,C
484,CUB,0,0.0,,,13.98145,6.56808,0.0,0.4986968098,1,C,C,C
528,DEU,1,2.106341,3.68,4.52,18.93528,8.00136,2.58,12.142509995,0,A,A,A
572,DNK,1,3.217391,3.49,3.16,15.80849,8.01202,1.33,1.0770611399999999,0,C,C,B
616,ECU,1,,,,13.76779,6.52356,0.0,0.060419307,0,C,C,C
660,EGY,1,8.965278,3.7,6.0,15.88041,6.69703,0.0,0.8608668494,1,C,C,C
704,ESP,0,12.79504,5.29,4.0,17.31682,7.48773,1.68,1.4187268795999999,0,B,B,B
748,FIN,1,1.681818,3.81,,15.30019,7.41938,0.0,0.42186486007,0,C,C,C
792,FRA,1,7.889122,2.98,3.0,18.53291,7.96416,11.87,7.05933457,0,A,A,A
836,GBR,1,5.028125,2.55,4.52,19.03515,8.41005,3.68,18.6391748,0,A,A,A
880,GRC,0,10.82353,5.76,6.75,15.03425,7.2086,1.0,0.2340576,0,C,C,C
924,HKG,0,0.9,3.31,7.0,12.68772,6.96414,0.0,1.3628828381,1,C,C,C
968,ICH,0,,3.4,12.0,16.27664,6.47851,0.0,0.2759084733,0,C,C,C
1012,IND,1,2.979135,2.97,5.25,18.95164,6.39526,0.0,2.8907463555,1,C,C,C
1056,ITA,0,8.759036,4.23,6.0,17.88721,7.48717,1.03,2.5735373558999997,0,B,B,B
1100,JAV,0,0.0,,6.0,17.04745,6.6107,0.0,1.08356377,0,C,C,C
1144,JPN,1,1.756291,7.0,11.0,17.76173,7.07327,0.08,1.197598838,0,C,C,C
1188,MEX,0,5.698113,8.4,,16.73798,7.21964,0.0,0.56693845999,0,C,C,C
1232,NLD,1,7.394984,3.29,2.79,16.68376,8.13857,5.79,5.337034289,0,B,B,B
1276,NOR,1,2.75,3.52,4.98,15.27865,7.5689,4.83,0.6051460161,0,C,C,B
1320,NZL,1,8.721429,3.29,7.0,15.05923,8.3659,6.37,0.53928825619,1,C,C,C
1364,OTT,1,8.341122,3.9,6.0,17.10862,6.98472,0.0,0.920967102,0,C,C,C
1408,PER,0,14.11111,,,14.94602,6.70564,0.08,0.1829490223,0,C,C,C
1452,PHL,0,,,,15.44856,6.54965,,0.22973889549999998,1,C,C,C
1496,PRS,0,0.2,,,16.22762,6.98472,0.5,0.18801155,0,C,C,C
1540,PRT,0,14.65566,12.28,5.8,15.76711,7.17166,0.0,0.4321925501,0,B,C,B
1584,ROM,1,6.824645,4.75,5.0,15.93979,7.25488,0.08,0.44413664199999997,0,C,C,C
1628,RUS,1,3.636425,3.97,5.4,18.91855,7.12044,0.0,3.62675342,0,B,B,B
1672,SER,1,5.743243,6.7,5.75,14.62866,6.80461,0.0,0.10745979700000001,0,C,C,C
1716,SGP,0,0.0,,7.5,13.31327,6.96414,0.0,1.050354442,1,C,C,C
1760,SIA,0,0.0,,,15.59293,6.69456,0.0,0.1373002254,0,C,C,C
1804,SWE,1,1.766284,3.54,4.48,16.38848,7.84815,0.31,1.1738713625000001,0,C,C,B
1848,URY,1,8.207317,7.7,8.0,14.52374,7.70481,0.06,0.2641263847,0,C,C,C
1892,USA,1,3.647173,3.2,6.5,19.56017,8.31654,8.87,10.843605263399999,0,B,B,B
1936,VEN,0,3.939394,10.7,,14.55123,6.71052,0.0,0.11700890100000001,0,C,C,C
